// 现代汉语语料库词语频率表,,,,
// 语料规模:2000万字,,,,
// 只列入出现次数大于50次的词,,,,
// 下载自www.cncorpus.org语料库在线网站,,,,
// id,词语,出现次数,频率（%）,累积频率（%）
255,比较,4352,0.0455,43.6854
256,全,4334,0.0454,43.7308
257,儿,4308,0.0451,43.7759
258,应,4307,0.0451,43.821
259,第二,4292,0.0449,43.8659
260,怎么,4287,0.0449,43.9108
261,经过,4285,0.0448,43.9556
262,提出,4271,0.0447,44.0003
263,艺术,4257,0.0445,44.0448
264,自然,4243,0.0444,44.0892
265,头,4234,0.0443,44.1335
266,过去,4213,0.0441,44.1776
267,领导,4199,0.0439,44.2215
268,完全,4184,0.0438,44.2653
269,东西,4174,0.0437,44.309
270,其他,4169,0.0436,44.3526
271,无,4167,0.0436,44.3962
272,得到,4163,0.0436,44.4398
273,劳动,4127,0.0432,44.483
274,本,4115,0.0431,44.5261
275,谁,4114,0.0431,44.5692
276,决定,4101,0.0429,44.6121
277,结构,4079,0.0427,44.6548
278,党,4072,0.0426,44.6974
279,现象,4068,0.0426,44.74
280,受,4039,0.0423,44.7823
281,理论,4033,0.0422,44.8245
282,虽然,4004,0.0419,44.8664
283,带,3996,0.0418,44.9082
284,学习,3995,0.0418,44.95
285,孩子,3975,0.0416,44.9916
286,特别,3970,0.0415,45.0746
287,工业,3970,0.0415,45.0331
288,啊,3952,0.0414,45.116
289,一点,3940,0.0412,45.1572
290,建立,3928,0.0411,45.1983
291,管理,3913,0.0409,45.2392
292,文化,3910,0.0409,45.2801
293,利用,3892,0.0407,45.3208
294,先,3865,0.0404,45.3612
295,人类,3842,0.0402,45.4014
296,应该,3836,0.0401,45.4415
297,建设,3836,0.0401,45.4816
298,图,3835,0.0401,45.5217
299,规定,3832,0.0401,45.5618
300,有些,3798,0.0397,45.6015
301,精神,3777,0.0395,45.641
302,基本,3767,0.0394,45.6804
303,声,3759,0.0393,45.7197
304,结果,3746,0.0392,45.7589
305,看到,3736,0.0391,45.798
306,手,3712,0.0388,45.8368
307,连,3685,0.0386,45.8754
308,大家,3683,0.0385,45.9139
309,时期,3672,0.0384,45.9523
310,啦,3659,0.0383,45.9906
311,意义,3628,0.038,46.0286
312,法,3602,0.0377,46.0663
313,十,3591,0.0376,46.1039
314,另,3591,0.0376,46.1415
315,其中,3578,0.0374,46.1789
316,才能,3554,0.0372,46.2161
317,能够,3553,0.0372,46.2533
318,分,3548,0.0371,46.2904
319,间,3545,0.0371,46.3275
320,当时,3541,0.0371,46.3646
321,因,3525,0.0369,46.4015
322,美国,3521,0.0368,46.4383
323,解决,3520,0.0368,46.4751
324,指,3519,0.0368,46.5119
325,只是,3507,0.0367,46.5486
326,语言,3498,0.0366,46.5852
327,增加,3488,0.0365,46.6217
328,内容,3476,0.0364,46.6581
329,该,3471,0.0363,46.6944
330,计划,3460,0.0362,46.7306
331,笑,3457,0.0362,46.7668
332,今天,3433,0.0359,46.8027
333,相,3422,0.0358,46.8385
334,不仅,3417,0.0358,46.8743
335,注意,3398,0.0356,46.9099
336,群众,3393,0.0355,46.9454
337,联系,3361,0.0352,46.9806
338,曾,3358,0.0351,47.0157
339,水平,3355,0.0351,47.0508
340,类,3321,0.0348,47.0856
341,快,3321,0.0348,47.1204
342,使用,3319,0.0347,47.1551
343,写,3310,0.0346,47.1897
344,分析,3308,0.0346,47.2243
345,当然,3308,0.0346,47.2589
346,既,3303,0.0346,47.2935
347,有关,3293,0.0345,47.328
348,实现,3286,0.0344,47.3624
349,此,3280,0.0343,47.3967
350,系统,3277,0.0343,47.431
351,直接,3277,0.0343,47.4653
352,不过,3275,0.0343,47.4996
353,按,3270,0.0342,47.5338
354,说明,3258,0.0341,47.5679
355,产品,3244,0.0339,47.6018
356,张,3235,0.0339,47.6357
357,总,3233,0.0338,47.6695
358,全国,3226,0.0338,47.7033
359,基础,3216,0.0337,47.737
360,十分,3199,0.0335,47.7705
361,市场,3188,0.0334,47.8039
362,找,3184,0.0333,47.8372
363,斗争,3183,0.0333,47.8705
364,环境,3181,0.0333,47.9038
365,特点,3177,0.0332,47.937
366,为什么,3168,0.0332,47.9702
367,学,3159,0.0331,48.0033
368,于是,3159,0.0331,48.0364
369,反映,3150,0.033,48.0694
370,引起,3141,0.0329,48.1023
371,创造,3122,0.0327,48.135
372,参加,3119,0.0326,48.1676
373,甚至,3112,0.0326,48.2002
374,讲,3112,0.0326,48.2328
375,坐,3112,0.0326,48.2654
376,能力,3108,0.0325,48.2979
377,像,3105,0.0325,48.3304
378,开,3105,0.0325,48.3629
379,觉得,3094,0.0324,48.3953
380,一下,3090,0.0323,48.4276
381,民族,3089,0.0323,48.4599
382,放,3079,0.0322,48.4921
383,具体,3072,0.0321,48.5242
384,知识,3067,0.0321,48.5563
385,有的,3055,0.032,48.5883
386,包括,3049,0.0319,48.6202
387,下来,3046,0.0319,48.6521
388,部门,3008,0.0315,48.6836
389,结合,3003,0.0314,48.715
390,岁,2993,0.0313,48.7463
391,正确,2986,0.0312,48.7775
392,任务,2986,0.0312,48.8087
393,部分,2986,0.0312,48.8399
394,那些,2973,0.0311,48.871
395,不会,2966,0.031,48.902
396,任何,2937,0.0307,48.9327
397,太,2934,0.0307,48.9634
398,眼睛,2916,0.0305,48.9939
399,经验,2909,0.0304,49.0243
400,实际,2900,0.0303,49.0546
401,随着,2895,0.0303,49.0849
402,农业,2894,0.0303,49.1152
403,道,2894,0.0303,49.1455
404,极,2891,0.0303,49.1758
405,少,2885,0.0302,49.206
406,不断,2883,0.0302,49.2362
407,这时,2881,0.0301,49.2663
408,最后,2877,0.0301,49.2964
409,件,2875,0.0301,49.3265
410,单位,2873,0.0301,49.3566
411,句,2870,0.03,49.3866
412,数,2862,0.0299,49.4165
413,而是,2846,0.0298,49.4463
414,表示,2841,0.0297,49.476
415,之后,2839,0.0297,49.5057
416,关于,2834,0.0297,49.5354
417,六,2826,0.0296,49.565
418,整个,2826,0.0296,49.5946
419,心,2821,0.0295,49.6241
420,性质,2818,0.0295,49.6536
421,受到,2818,0.0295,49.6831
422,政府,2802,0.0293,49.7124
423,至,2799,0.0293,49.7417
424,到了,2784,0.0291,49.7708
425,作品,2778,0.0291,49.7999
426,青年,2773,0.029,49.8289
427,目的,2772,0.029,49.8579
428,工人,2769,0.029,49.8869
429,规律,2759,0.0289,49.9158
430,农民,2758,0.0289,49.9447
431,元,2752,0.0288,49.9735
432,变,2746,0.0287,50.0022
433,实行,2742,0.0287,50.0309
434,力量,2739,0.0287,50.0596
435,非,2739,0.0287,50.0883
436,一起,2732,0.0286,50.1169
437,先生,2728,0.0285,50.1454
438,后来,2722,0.0285,50.1739
439,名,2716,0.0284,50.2023
440,请,2714,0.0284,50.2307
441,然后,2711,0.0284,50.2591
442,干,2701,0.0283,50.2874
443,办法,2698,0.0282,50.3156
444,站,2674,0.028,50.3436
445,并不,2669,0.0279,50.3715
446,制度,2669,0.0279,50.3994
447,钱,2667,0.0279,50.4273
448,有人,2658,0.0278,50.4551
449,心理,2654,0.0278,50.4829
450,怎样,2654,0.0278,50.5107
451,原则,2654,0.0278,50.5385
452,多少,2654,0.0278,50.5663
453,处,2653,0.0278,50.5941
454,原来,2647,0.0277,50.6218
455,那个,2639,0.0276,50.6494
456,等等,2634,0.0276,50.677
457,商品,2627,0.0275,50.7045
458,干部,2626,0.0275,50.732
459,部,2619,0.0274,50.7594
460,实践,2615,0.0274,50.7868
461,您,2612,0.0273,50.8141
462,所谓,2612,0.0273,50.8414
463,低,2606,0.0273,50.8687
464,行为,2600,0.0272,50.8959
465,第,2599,0.0272,50.9231
466,统一,2599,0.0272,50.9503
467,拿,2598,0.0272,50.9775
468,日本,2597,0.0272,51.0047
469,矛盾,2592,0.0271,51.0318
470,以上,2590,0.0271,51.0589
471,大量,2586,0.0271,51.086
472,死,2585,0.0271,51.1131
473,个人,2580,0.027,51.1401
474,指出,2573,0.0269,51.167
475,然而,2573,0.0269,51.1939
476,代表,2569,0.0269,51.2207999999999
477,学校,2568,0.0269,51.2476999999999
478,原因,2564,0.0268,51.2744999999999
479,几个,2562,0.0268,51.3012999999999
480,达到,2544,0.0266,51.3279
481,因素,2544,0.0266,51.3545
482,感到,2538,0.0266,51.3811
483,实验,2525,0.0264,51.4075
484,地位,2524,0.0264,51.4603
485,方向,2524,0.0264,51.4339
486,正在,2520,0.0264,51.4867
487,资本主义,2513,0.0263,51.513
488,因而,2510,0.0263,51.5393
489,程度,2509,0.0263,51.5656
490,并且,2507,0.0262,51.5918
491,完成,2499,0.0262,51.618
492,造成,2491,0.0261,51.6441
493,八,2491,0.0261,51.6702
494,回来,2491,0.0261,51.6963
495,改变,2484,0.026,51.7223
496,往往,2484,0.026,51.7483
497,看见,2482,0.026,51.7743
498,政策,2472,0.0259,51.8002
499,目前,2467,0.0258,51.826
500,半,2454,0.0257,51.8517
501,那样,2451,0.0256,51.8773
502,这么,2450,0.0256,51.9029
503,范围,2447,0.0256,51.9285
504,非常,2445,0.0256,51.9541
505,只要,2445,0.0256,51.9797
506,经,2441,0.0255,52.0052
507,首先,2438,0.0255,52.0307
508,法律,2437,0.0255,52.0562
509,声音,2436,0.0255,52.0817
510,时代,2433,0.0255,52.1072
511,质量,2429,0.0254,52.1326
512,改革,2418,0.0253,52.1579
513,阶段,2408,0.0252,52.1831
514,心里,2407,0.0252,52.2083
515,继续,2400,0.0251,52.2334
516,获得,2394,0.0251,52.2585
517,方式,2387,0.025,52.2835
518,层,2384,0.0249,52.3084
519,住,2381,0.0249,52.3333
520,副,2377,0.0249,52.3582
521,不要,2374,0.0248,52.383
522,量,2370,0.0248,52.4078
523,取得,2363,0.0247,52.4325
524,场,2362,0.0247,52.4572
525,所有,2344,0.0245,52.4817
526,块,2341,0.0245,52.5062
527,人物,2340,0.0245,52.5307
528,书,2333,0.0244,52.5551
529,叫做,2326,0.0243,52.5794
530,占,2302,0.0241,52.6035
531,些,2296,0.024,52.6275
532,告诉,2293,0.024,52.6515
533,严重,2290,0.024,52.6755
534,组成,2284,0.0239,52.6994
535,观察,2281,0.0239,52.7233
536,自,2276,0.0238,52.7471
537,近,2275,0.0238,52.7709
538,往,2272,0.0238,52.7947
539,第三,2270,0.0238,52.8185
540,速度,2270,0.0238,52.8423
541,自由,2270,0.0238,52.8661
542,字,2264,0.0237,52.8898
543,根本,2263,0.0237,52.9135
544,门,2258,0.0236,52.9371
545,容易,2255,0.0236,52.9607
546,哪,2252,0.0236,52.9843
547,加强,2251,0.0236,53.0079
548,了解,2247,0.0235,53.0314
549,全部,2245,0.0235,53.0549
550,早,2244,0.0235,53.0784
551,很多,2242,0.0235,53.1019
552,准备,2238,0.0234,53.1253
553,或者,2229,0.0233,53.1486
554,进一步,2228,0.0233,53.1719
555,项,2224,0.0233,53.1952
556,从而,2219,0.0232,53.2184
557,资产阶级,2217,0.0232,53.2416
558,价值,2216,0.0232,53.2648
559,困难,2211,0.0231,53.2879
560,还要,2199,0.023,53.3109
561,总是,2197,0.023,53.3339
562,中心,2197,0.023,53.3569
563,充分,2176,0.0228,53.3797
564,仍,2174,0.0227,53.4024
565,保证,2172,0.0227,53.4251
566,进入,2171,0.0227,53.4478
567,文学,2168,0.0227,53.4705
568,变成,2168,0.0227,53.4932
569,强,2166,0.0227,53.5159
570,处理,2166,0.0227,53.5386
571,采取,2164,0.0226,53.5612
572,事情,2163,0.0226,53.5838
573,只能,2162,0.0226,53.6064
574,敌人,2145,0.0224,53.6288
575,光,2143,0.0224,53.6512
576,不到,2141,0.0224,53.6736
577,事物,2139,0.0224,53.696
578,七,2136,0.0224,53.7184
579,那里,2132,0.0223,53.7407
580,约,2131,0.0223,53.763
581,控制,2126,0.0222,53.7852
582,对象,2124,0.0222,53.8074
583,积极,2119,0.0222,53.8518
584,动物,2119,0.0222,53.874
585,反应,2119,0.0222,53.8296
586,来说,2118,0.0222,53.8962
587,花,2108,0.0221,53.9183
588,米,2105,0.022,53.9403
589,美,2100,0.022,53.9623
590,难,2094,0.0219,53.9842
591,某,2094,0.0219,54.0061
592,行,2093,0.0219,54.028
593,倒,2089,0.0219,54.0499
594,提供,2082,0.0218,54.0717
595,集中,2078,0.0217,54.0934
596,世纪,2072,0.0217,54.1151
597,突然,2071,0.0217,54.1368
598,下去,2070,0.0217,54.1585
599,别,2069,0.0217,54.1802
600,常,2065,0.0216,54.2018
601,不少,2060,0.0216,54.2234
602,经营,2058,0.0215,54.2449
603,事实,2056,0.0215,54.2664
604,某些,2051,0.0215,54.2879
605,正是,2050,0.0215,54.3094
606,客观,2049,0.0214,54.3308
607,口,2045,0.0214,54.3522
608,生,2043,0.0214,54.3736
609,植物,2030,0.0212,54.3948
610,似的,2029,0.0212,54.416
611,段,2027,0.0212,54.4372
612,应当,2014,0.0211,54.4583
613,现代,2008,0.021,54.4793
614,状态,2008,0.021,54.5003
615,价格,2005,0.021,54.5213
616,一直,2004,0.021,54.5423
617,采用,2003,0.021,54.5633
618,服务,2002,0.0209,54.5842
619,按照,2002,0.0209,54.6051
620,分别,1999,0.0209,54.626
621,特征,1999,0.0209,54.6469
622,事业,1993,0.0209,54.6678
623,利益,1993,0.0209,54.6887
624,材料,1993,0.0209,54.7096
625,培养,1991,0.0208,54.7304
626,复杂,1990,0.0208,54.7512
627,有时,1983,0.0208,54.772
628,分子,1982,0.0207,54.7927
629,如何,1981,0.0207,54.8134
630,根,1975,0.0207,54.8341
631,望,1975,0.0207,54.8548
632,掌握,1971,0.0206,54.8754
633,丰富,1969,0.0206,54.896
634,又是,1968,0.0206,54.9166
635,共同,1964,0.0206,54.9372
636,城市,1964,0.0206,54.9578
637,式,1963,0.0205,54.9783
638,上海,1961,0.0205,54.9988
639,内部,1958,0.0205,55.0193
640,气,1947,0.0204,55.0397
641,理解,1941,0.0203,55.06
642,音乐,1936,0.0203,55.0803
643,运用,1934,0.0202,55.1005
644,构成,1929,0.0202,55.1207
645,现实,1924,0.0201,55.1408
646,形象,1923,0.0201,55.1609
647,真正,1922,0.0201,55.181
648,买,1922,0.0201,55.2011
649,发挥,1917,0.0201,55.2212
650,称为,1916,0.02,55.2412
651,刚,1914,0.02,55.2612
652,搞,1914,0.02,55.2812
653,传统,1910,0.02,55.3012
654,相同,1910,0.02,55.3212
655,除了,1908,0.02,55.3412
656,常常,1907,0.02,55.3612
657,创作,1906,0.0199,55.3811
658,适应,1904,0.0199,55.401
659,国际,1903,0.0199,55.4209
660,温度,1901,0.0199,55.4408
661,证明,1899,0.0199,55.4607
662,年代,1897,0.0199,55.4806
663,虽,1893,0.0198,55.5004
664,爱,1893,0.0198,55.5202
665,观点,1886,0.0197,55.5399
666,面,1884,0.0197,55.5596
667,促进,1884,0.0197,55.5793
668,战争,1883,0.0197,55.599
669,阶级,1880,0.0197,55.6187
670,帮助,1876,0.0196,55.6579
671,未,1876,0.0196,55.6383
672,母亲,1875,0.0196,55.6775
673,似乎,1875,0.0196,55.6971
674,回,1868,0.0195,55.7166
675,希望,1867,0.0195,55.7361
676,农村,1867,0.0195,55.7556
677,病,1866,0.0195,55.7751
678,重,1865,0.0195,55.7946
679,家庭,1862,0.0195,55.8141
680,空气,1861,0.0195,55.8336
681,坚持,1861,0.0195,55.8531
682,合理,1859,0.0195,55.8726
683,同样,1855,0.0194,55.892
684,区,1852,0.0194,55.9114
685,迅速,1849,0.0193,55.9307
686,进,1848,0.0193,55.95
687,属于,1847,0.0193,55.9886
688,土地,1847,0.0193,55.9693
689,除,1846,0.0193,56.0079
690,不可,1843,0.0193,56.0272
691,身体,1840,0.0193,56.0465
692,靠,1837,0.0192,56.0657
693,本身,1837,0.0192,56.0849
694,万,1836,0.0192,56.1041
695,感情,1836,0.0192,56.1233
696,路,1831,0.0192,56.1425
697,红,1825,0.0191,56.1616
698,父亲,1819,0.019,56.1806
699,广大,1816,0.019,56.1996
700,逐渐,1806,0.0189,56.2185
701,身上,1805,0.0189,56.2374
702,人员,1804,0.0189,56.2563
703,跑,1803,0.0189,56.2752
704,反对,1801,0.0188,56.294
705,北京,1800,0.0188,56.3128
706,生命,1799,0.0188,56.3316
707,必然,1798,0.0188,56.3504
708,简单,1797,0.0188,56.3692
709,人家,1794,0.0188,56.388
710,选择,1794,0.0188,56.4068
711,解释,1788,0.0187,56.4255
712,旧,1787,0.0187,56.4442
713,步,1783,0.0187,56.4629
714,怕,1774,0.0186,56.4815
715,妈妈,1773,0.0186,56.5001
716,长期,1772,0.0185,56.5186
717,化,1769,0.0185,56.5371
718,效果,1769,0.0185,56.5556
719,扩大,1763,0.0184,56.574
720,就要,1759,0.0184,56.5924
721,特殊,1759,0.0184,56.6108
722,动作,1758,0.0184,56.6292
723,热,1754,0.0184,56.6476
724,姑娘,1752,0.0183,56.6659
725,相互,1751,0.0183,56.6842
726,努力,1749,0.0183,56.7025
727,过来,1741,0.0182,56.7207
728,保持,1739,0.0182,56.7389
729,离开,1737,0.0182,56.7571
730,分布,1736,0.0182,56.7935
